"featureid"	"Adduct"	"CAS_Number"	"Charge"	"Compound_Name"	"Compound_Source"	"Data_Collector"	"ExactMass"	"FileScanUniqueID"	"INCHI"	"INCHI_AUX"	"Instrument"	"IonMode"	"Ion_Source"	"LibMZ"	"LibraryName"	"LibraryQualityString"	"Library_Class"	"MQScore"	"MZErrorPPM"	"MassDiff"	"NumberHits"	"Organism"	"PI"	"Precursor_MZ"	"Pubmed_ID"	"RT_Query"	"SharedPeaks"	"Smiles"	"SpecCharge"	"SpecMZ"	"SpectrumFile"	"SpectrumID"	"TIC_Query"	"UpdateWorkflowName"	"tags"	"internalFilename"
2692	"M+H"	97789	1	"Spectral Match to N-Lauroylsarcosine from NIST14"	"Isolated"	"Data deposited by lfnothias"	0	"spectra/specs_ms.mgf2692"	"N/A"	"N/A"	"QqQ"	"Positive"	"ESI"	272.221	"lib-00032.mgf"	"Bronze"	3	0.990831	1.45738	0.000396729	1	"GNPS-NIST14-MATCHES"	"Data from Pieter Dorrestein"	272.221	"N/A"	0	7	"N/A"	1	272.221	"specs_ms.mgf"	"CCMSLIB00003136448"	2568000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
12010	"M+H"	138798	0	"N-ACETYL-D-TRYPTOPHAN"	"Commercial standard"	"Prasad"	246.1	"spectra/specs_ms.mgf12010"	"N/A"	"N/A"	"Q-Exactive Plus"	"Positive"	"LC-ESI"	247.11	"lib-00016.mgf"	"Gold"	1	0.990811	9.69459	0.00239563	1	"GNPS-EMBL-MCF"	"Alexandrov Theodore"	247.11	439917	0	10	"O=C([C@@H](Cc1c[nH]c2c1cccc2)NC(C)=O)O"	1	247.108	"specs_ms.mgf"	"CCMSLIB00000577920"	3173000	"UPDATE-SINGLE-ANNOTATED-GOLD"	" "	"specs_ms.mgf"
11690	"M+H"	832973	1	"Spectral Match to DL-Indole-3-lactic acid from NIST14"	"Isolated"	"Data deposited by quinnr"	0	"spectra/specs_ms.mgf11690"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	206.081	"lib-00032.mgf"	"Bronze"	3	0.990677	1.48085	0.000305176	1	"GNPS-NIST14-MATCHES"	"Data from Dorrestein/Knight"	206.081	"N/A"	0	7	"N/A"	1	206.081	"specs_ms.mgf"	"CCMSLIB00003136107"	876000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
5970	"M+H"	17364168	1	"Spectral Match to Lyso-PC(16:0) from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf5970"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	496.339	"lib-00032.mgf"	"Bronze"	3	0.99053	0.79931	0.000396729	1	"GNPS-NIST14-MATCHES"	"Data from Julia Gauglitz"	496.339	"N/A"	0	9	"N/A"	1	496.339	"specs_ms.mgf"	"CCMSLIB00003140032"	1000200	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
19	"M+H"	78513	1	"Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14"	"Isolated"	"Data deposited by lfnothias"	0	"spectra/specs_ms.mgf19"	"N/A"	"N/A"	"HCD"	"Positive"	"ESI"	399.25	"lib-00032.mgf"	"Bronze"	3	0.990459	1.52875	0.000610352	1	"GNPS-NIST14-MATCHES"	"Data from Pieter Dorrestein"	399.25	"N/A"	0	12	"N/A"	1	399.251	"specs_ms.mgf"	"CCMSLIB00003140225"	2342000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
10737	"M+H"	"N/A"	1	"Spectral Match to Ile-Met from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf10737"	"N/A"	"N/A"	"QqQ"	"Positive"	"ESI"	263.142	"lib-00032.mgf"	"Bronze"	3	0.989972	0	0	1	"GNPS-NIST14-MATCHES"	"Data from Joshua Wollam"	263.142	"N/A"	0	9	"N/A"	1	263.142	"specs_ms.mgf"	"CCMSLIB00003137900"	966100	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
7102	"M+H"	"1492-23-5"	1	"O-SUCCINYL-HOMOSERINE"	"Commercial"	"Kelly Weldon"	219.074	"spectra/specs_ms.mgf7102"	"InChI=1S/C8H13NO6/c9-5(8(13)14)3-4-15-7(12)2-1-6(10)11/h5H,1-4,9H2,(H,10,11)(H,13,14)"	"N/A"	"Orbitrap"	"Positive"	"ESI"	220.082	"lib-00015.mgf"	"Gold"	1	0.989016	1.80264	0.000396729	1	"GNPS-MSMLS"	"Dorrestein"	220.082	"N/A"	0	9	"C(COC(=O)CCC(=O)O)C(C(=O)O)N"	1	220.082	"specs_ms.mgf"	"CCMSLIB00005464411"	3450000	"UPDATE-SINGLE-ANNOTATED-GOLD"	" "	"specs_ms.mgf"
955	"M+H"	"N/A"	1	"Lauryl diethanolamide"	"Commercial"	"CASMI2016"	0	"spectra/specs_ms.mgf955"	"InChI=1S/C16H33NO3/c1-2-3-4-5-6-7-8-9-10-11-16(20)17(12-14-18)13-15-19/h18-19H,2-15H2,1H3"	" "	"Orbitrap"	" Positive"	"LC-ESI"	288.253	"lib-00027.mgf"	"Gold"	1	0.988321	1.05871	0.000305176	1	"CASMI"	"CASMI"	288.253	8123	0	8	"CCCCCCCCCCCC(=O)N(CCO)CCO"	1	288.253	"specs_ms.mgf"	"CCMSLIB00000579850"	1484000	"UPDATE-SINGLE-ANNOTATED-GOLD"	" "	"specs_ms.mgf"
490	"M-2H2O+H"	"131-48-6"	1	"N-ACETYLNEURAMINATE"	"Commercial"	"Kelly Weldon"	309.106	"spectra/specs_ms.mgf490"	"InChI=1S/C11H19NO9/c1-4(14)12-7-5(15)2-11(20,10(18)19)21-9(7)8(17)6(16)3-13/h5-9,13,15-17,20H,2-3H2,1H3,(H,12,14)(H,18,19)/t5-,6+,7+,8+,9+,11-/m0/s1"	"N/A"	"Orbitrap"	"Positive"	"ESI"	274.092	"lib-00015.mgf"	"Gold"	1	0.988075	1.11341	0.000305176	1	"GNPS-MSMLS"	"Dorrestein"	274.092	"N/A"	0	11	"CC(=O)N[C@@H]1[C@@H](O)C[C@](O)(O[C@H]1[C@H](O)[C@H](O)CO)C(O)=O"	1	274.092	"specs_ms.mgf"	"CCMSLIB00005464463"	1295800	"UPDATE-SINGLE-ANNOTATED-GOLD"	" "	"specs_ms.mgf"
3942	"M+H"	"N/A"	1	"Spectral Match to Phe-Val from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf3942"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	265.154	"lib-00032.mgf"	"Bronze"	3	0.987177	1.15094	0.000305176	1	"GNPS-NIST14-MATCHES"	"Data from Chris Turck"	265.154	"N/A"	0	6	"N/A"	1	265.154	"specs_ms.mgf"	"CCMSLIB00003137478"	3092000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
1615	"M+H"	"N/A"	1	"Spectral Match to Tyr-Pro from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf1615"	"N/A"	"N/A"	"QqQ"	"Positive"	"ESI"	279.133	"lib-00032.mgf"	"Bronze"	3	0.98709	1.85861	0.000518799	1	"GNPS-NIST14-MATCHES"	"Data from Joshua Wollam"	279.133	"N/A"	0	9	"N/A"	1	279.134	"specs_ms.mgf"	"CCMSLIB00003137020"	15808100	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
1152	"M+H"	"N/A"	1	"Spectral Match to Phe-Thr from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf1152"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	267.133	"lib-00032.mgf"	"Bronze"	3	0.986629	1.9421	0.000518799	1	"GNPS-NIST14-MATCHES"	"Data from Chris Turck"	267.133	"N/A"	0	10	"N/A"	1	267.134	"specs_ms.mgf"	"CCMSLIB00003135539"	1789100	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
2829	"M+H"	"N/A"	1	"Spectral Match to Phe-Leu from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf2829"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	279.17	"lib-00032.mgf"	"Bronze"	3	0.98492	0.437262	0.00012207	1	"GNPS-NIST14-MATCHES"	"Data from Chris Turck"	279.17	"N/A"	0	9	"N/A"	1	279.17	"specs_ms.mgf"	"CCMSLIB00003134492"	7850000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
2618	"M+H"	50299122	1	"Spectral Match to Thr-Leu from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf2618"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	233.149	"lib-00032.mgf"	"Bronze"	3	0.984845	1.70161	0.000396729	1	"GNPS-NIST14-MATCHES"	"Data from Julia Gauglitz"	233.149	"N/A"	0	12	"N/A"	1	233.149	"specs_ms.mgf"	"CCMSLIB00003140084"	4101000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
3056	"[M+H]+"	"N/A"	1	"PIPERINE"	"isolated"	"MoNA:VF-NPL-QEHF000639"	0	"spectra/specs_ms.mgf3056"	"InChI=1S/C17H19NO3/c19-17(18-10-4-1-5-11-18)7-3-2-6-14-8-9-15-16(12-14)21-13-20-15/h2-3,6-9,12H,1,4-5,10-11,13H2/b6-2+,7-3+"	"N/A"	"ESI-QFT"	"positive"	"N/A"	286.144	"lib-00029.mgf"	"Bronze"	3	0.984744	3.19953	0.000915527	1	"MONA"	"MoNA"	286.144	"N/A"	0	11	"N/A"	1	286.143	"specs_ms.mgf"	"CCMSLIB00004691702"	13272500	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
2625	"M+H"	"N/A"	1	"Spectral Match to Ile-Leu from NIST14"	"Isolated"	"Data deposited by lfnothias"	0	"spectra/specs_ms.mgf2625"	"N/A"	"N/A"	"QqQ"	"Positive"	"ESI"	245.186	"lib-00032.mgf"	"Bronze"	3	0.984144	1.24467	0.000305176	1	"GNPS-NIST14-MATCHES"	"Data from Pieter Dorrestein"	245.186	"N/A"	0	6	"N/A"	1	245.186	"specs_ms.mgf"	"CCMSLIB00003138930"	14277800	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
5873	"M+H"	2577404	1	"Spectral Match to Phe-Phe from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf5873"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	313.155	"lib-00032.mgf"	"Bronze"	3	0.984	7.3089	0.00228882	1	"GNPS-NIST14-MATCHES"	"Data from Chris Turck"	313.155	"N/A"	0	7	"N/A"	1	313.153	"specs_ms.mgf"	"CCMSLIB00003136393"	5672900	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
9944	"M+H"	3303319	1	"Spectral Match to Leu-Leu from NIST14"	"Isolated"	"Data deposited by mjmeehan"	0	"spectra/specs_ms.mgf9944"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	245.186	"lib-00032.mgf"	"Bronze"	3	0.983212	0	0	1	"GNPS-NIST14-MATCHES"	"Data from Gabriel Haddad"	245.186	"N/A"	0	7	"N/A"	1	245.186	"specs_ms.mgf"	"CCMSLIB00003139983"	8139600	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
9939	"[M+H]+"	"519-09-5"	1	"Massbank:EA282310 Benzoylecgonine| 3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-4-carboxylic acid"	"Isolated"	"Massbank"	0	"spectra/specs_ms.mgf9939"	"1S/C16H19NO4/c1-17-11-7-8-12(17)14(15(18)19)13(9-11)21-16(20)10-5-3-2-4-6-10/h2-6,11-14H,7-9H2,1H3,(H,18,19)"	"N/A"	"LC-ESI-ITFT"	"Positive"	"ESI"	290.139	"lib-00004.mgf"	"Bronze"	3	0.982905	2.10365	0.000610352	1	"MASSBANK"	"Putative Massbank Match"	290.139	"N/A"	0	9	"CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)O"	1	290.138	"specs_ms.mgf"	"CCMSLIB00000211576"	8252900	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
626	"M+H"	16875277	1	"Spectral Match to Thr-Phe from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf626"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	267.134	"lib-00032.mgf"	"Bronze"	3	0.981695	1.82785	0.000488281	1	"GNPS-NIST14-MATCHES"	"Data from Chris Turck"	267.134	"N/A"	0	12	"N/A"	1	267.134	"specs_ms.mgf"	"CCMSLIB00003135017"	4876000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
7600	"[M]+"	"N/A"	1	"Massbank:PB006006 Sinapine|2-[(E)-3-(4-hydroxy-3,5-dimethoxyphenyl)prop-2-enoyl]oxyethyl-trimethylazanium"	"Isolated"	"Massbank"	0	"spectra/specs_ms.mgf7600"	"1S/C16H23NO5/c1-17(2,3)8-9-22-15(18)7-6-12-10-13(20-4)16(19)14(11-12)21-5/h6-7,10-11H,8-9H2,1-5H3/p+1"	"N/A"	"LC-ESI-QTOF"	"Positive"	"ESI"	310.165	"lib-00004.mgf"	"Bronze"	3	0.981494	2.55818	0.000793457	1	"MASSBANK"	"Putative Massbank Match"	310.165	"N/A"	0	6	"C[N+](C)(C)CCOC(=O)C=CC1=CC(=C(C(=C1)OC)O)OC"	1	310.164	"specs_ms.mgf"	"CCMSLIB00000222420"	740100	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
1897	"M+H"	3303319	1	"Spectral Match to Leu-Leu from NIST14"	"Isolated"	"Data deposited by mjmeehan"	0	"spectra/specs_ms.mgf1897"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	245.186	"lib-00032.mgf"	"Bronze"	3	0.981233	0.809036	0.000198364	1	"GNPS-NIST14-MATCHES"	"Data from Gabriel Haddad"	245.186	"N/A"	0	6	"N/A"	1	245.186	"specs_ms.mgf"	"CCMSLIB00003139983"	7857700	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
5864	"M+H"	"N/A"	1	"Spectral Match to Phe-Leu from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf5864"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	279.17	"lib-00032.mgf"	"Bronze"	3	0.980695	0	0	1	"GNPS-NIST14-MATCHES"	"Data from Chris Turck"	279.17	"N/A"	0	8	"N/A"	1	279.17	"specs_ms.mgf"	"CCMSLIB00003134492"	1938000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
7139	"M+H"	537553	1	"Spectral Match to N-Acetyl-L-tyrosine from NIST14"	"Isolated"	"Data deposited by daniel"	0	"spectra/specs_ms.mgf7139"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	224.092	"lib-00032.mgf"	"Bronze"	3	0.980537	1.29374	0.000289917	1	"GNPS-NIST14-MATCHES"	"Data from Pieter Dorrestein"	224.092	"N/A"	0	8	"N/A"	1	224.092	"specs_ms.mgf"	"CCMSLIB00003139111"	2232200	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
1665	"M+H"	372758	1	"Spectral Match to L-Citrulline from NIST14"	"Isolated"	"Data deposited by mjmeehan"	0	"spectra/specs_ms.mgf1665"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	176.103	"lib-00032.mgf"	"Bronze"	3	0.97969	0	0	1	"GNPS-NIST14-MATCHES"	"Data from Gabriel Haddad"	176.103	"N/A"	0	6	"N/A"	1	176.103	"specs_ms.mgf"	"CCMSLIB00003136000"	9702000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
8	"M+H"	"N/A"	1	"sphingosin C16 (Artifact)-emf"	"Crude"	"N/A"	0	"spectra/specs_ms.mgf8"	"N/A"	"N/A"	"Orbitrap"	"Positive"	"LC-ESI"	274.274	"lib-00013.mgf"	"Bronze"	3	0.978993	1.44647	0.000396729	1	"GNPS-LIBRARY"	"emf"	274.274	" "	0	9	"N/A"	1	274.274	"specs_ms.mgf"	"CCMSLIB00005463721"	2611000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
10978	"[M+H]+"	"738-70-5"	1	"Massbank:EA019910 Trimethoprim|2,4-Diamino-5-(3,4,5-trimethoxybenzyl)pyrimidine|5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine"	"Isolated"	"Massbank"	0	"spectra/specs_ms.mgf10978"	"1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)"	"N/A"	"LC-ESI-ITFT"	"Positive"	"ESI"	291.145	"lib-00004.mgf"	"Bronze"	3	0.978337	1.36265	0.000396729	1	"MASSBANK"	"Putative Massbank Match"	291.145	"N/A"	0	11	"c1(Cc2c(nc(N)nc2)N)cc(c(OC)c(c1)OC)OC"	1	291.145	"specs_ms.mgf"	"CCMSLIB00000207449"	4826900	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
2604	"M+H"	"69-89-6"	1	"XANTHINE"	"Commercial"	"Kelly Weldon"	152.033	"spectra/specs_ms.mgf2604"	"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)"	"N/A"	"Orbitrap"	"Positive"	"ESI"	153.041	"lib-00015.mgf"	"Gold"	1	0.97739	3.88845	0.000595093	1	"GNPS-MSMLS"	"Dorrestein"	153.041	"N/A"	0	6	"O=C1NC2=C(NC=N2)C(=O)N1"	1	153.04	"specs_ms.mgf"	"CCMSLIB00005464098"	1929000	"UPDATE-SINGLE-ANNOTATED-GOLD"	" "	"specs_ms.mgf"
3819	"M+H"	"N/A"	1	"Spectral Match to Val-Phe from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf3819"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	265.155	"lib-00032.mgf"	"Bronze"	3	0.977034	2.30187	0.000610352	1	"GNPS-NIST14-MATCHES"	"Data from Chris Turck"	265.155	"N/A"	0	7	"N/A"	1	265.154	"specs_ms.mgf"	"CCMSLIB00003137123"	1247700	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
11932	"M+H"	"N/A"	1	"Spectral Match to Val-Phe from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf11932"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	265.155	"lib-00032.mgf"	"Bronze"	3	0.976885	3.33771	0.00088501	1	"GNPS-NIST14-MATCHES"	"Data from Chris Turck"	265.155	"N/A"	0	6	"N/A"	1	265.154	"specs_ms.mgf"	"CCMSLIB00003137123"	1743700	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
5475	"M+H"	3386183	1	"Spectral Match to Nonaethylene glycol from NIST14"	"Isolated"	"Data deposited by daniel"	0	"spectra/specs_ms.mgf5475"	"N/A"	"N/A"	"QqQ"	"Positive"	"ESI"	415.254	"lib-00032.mgf"	"Bronze"	3	0.976556	0.734914	0.000305176	1	"GNPS-NIST14-MATCHES"	"Data from Pieter Dorrestein"	415.254	"N/A"	0	11	"N/A"	1	415.254	"specs_ms.mgf"	"CCMSLIB00003135822"	7475000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
2	"M+H"	122112	1	"Spectral Match to Sulfadimethoxine from NIST14"	"Isolated"	"Data deposited by fevargas"	0	"spectra/specs_ms.mgf2"	"N/A"	"N/A"	"Q-TOF"	"Positive"	"ESI"	311.08	"lib-00032.mgf"	"Bronze"	3	0.97651	0.686714	0.000213623	1	"GNPS-NIST14-MATCHES"	"Data from Joshua Wollam"	311.08	"N/A"	0	14	"N/A"	1	311.08	"specs_ms.mgf"	"CCMSLIB00003138938"	31230000	"UPDATE-SINGLE-ANNOTATED-BRONZE"	" "	"specs_ms.mgf"
